id,frame,x,y
64,2,96,204
65,2,88,203
66,2,85,203
67,2,82,202
0,3,64,187
1,3,64,195
2,3,65,202
3,3,66,210
4,3,66,219
5,3,68,225
6,3,73,230
7,3,80,232
8,3,90,232
9,3,100,231
10,3,111,229
11,3,121,226
12,3,128,221
13,3,132,213
14,3,133,204
15,3,133,195
16,3,133,184
17,3,63,170
18,3,64,163
19,3,69,158
20,3,75,156
21,3,81,158
22,3,90,158
23,3,97,154
24,3,106,154
25,3,113,158
26,3,118,165
27,3,85,167
28,3,84,170
29,3,84,173
30,3,83,176
31,3,80,188
32,3,83,188
33,3,86,188
34,3,89,187
35,3,93,186
36,3,69,175
37,3,71,170
38,3,75,170
39,3,79,173
40,3,75,174
41,3,72,175
42,3,98,171
43,3,101,167
44,3,106,167
45,3,110,171
46,3,106,171
47,3,101,171
48,3,78,209
49,3,79,201
50,3,83,196
51,3,86,197
52,3,88,196
53,3,93,199
54,3,99,206
55,3,94,206
56,3,89,206
57,3,87,206
58,3,84,207
59,3,80,208
60,3,80,207
61,3,83,202
62,3,86,201
63,3,89,201
64,3,96,205
65,3,89,202
66,3,86,202
67,3,83,203
0,4,64,187
1,4,64,194
2,4,65,202
3,4,65,209
4,4,66,217
5,4,68,224
6,4,72,229
7,4,79,231
8,4,87,232
9,4,98,231
10,4,108,230
11,4,119,227
12,4,127,222
13,4,131,215
14,4,132,205
15,4,133,196
16,4,133,185
17,4,64,168
18,4,65,162
19,4,69,157
20,4,75,155
21,4,81,157
22,4,91,156
23,4,98,153
24,4,106,153
25,4,113,158
26,4,118,165
27,4,85,167
28,4,84,170
29,4,83,173
30,4,82,176
31,4,80,188
32,4,82,189
33,4,85,189
34,4,88,188
35,4,91,187
36,4,69,175
37,4,72,170
38,4,76,170
39,4,80,173
40,4,76,174
41,4,72,175
42,4,98,171
43,4,101,168
44,4,105,168
45,4,110,172
46,4,105,172
47,4,101,172
48,4,77,209
49,4,78,201
50,4,82,197
51,4,85,197
52,4,87,196
53,4,92,200
54,4,98,207
55,4,93,207
56,4,88,207
57,4,85,207
58,4,83,208
59,4,79,208
60,4,79,207
61,4,82,202
62,4,85,202
63,4,88,202
64,4,95,206
65,4,88,203
66,4,85,203
67,4,83,203
0,5,64,186
1,5,64,194
2,5,64,201
3,5,64,209
4,5,65,217
5,5,67,224
6,5,71,229
7,5,77,232
8,5,87,233
9,5,97,232
10,5,108,230
11,5,118,227
12,5,126,222
13,5,130,215
14,5,131,206
15,5,131,196
16,5,132,186
17,5,63,172
18,5,64,165
19,5,68,161
20,5,73,159
21,5,79,161
22,5,90,159
23,5,96,156
24,5,105,156
25,5,112,160
26,5,116,167
27,5,83,169
28,5,82,172
29,5,81,175
30,5,80,178
31,5,77,190
32,5,80,190
33,5,82,190
34,5,86,189
35,5,90,188
36,5,68,178
37,5,70,174
38,5,74,173
39,5,79,175
40,5,75,177
41,5,71,178
42,5,95,173
43,5,99,170
44,5,104,170
45,5,108,173
46,5,104,174
47,5,99,174
48,5,75,210
49,5,76,202
50,5,79,198
51,5,82,198
52,5,85,197
53,5,90,200
54,5,97,208
55,5,91,208
56,5,87,208
57,5,84,209
58,5,81,209
59,5,77,210
60,5,78,208
61,5,80,204
62,5,83,203
63,5,85,203
64,5,94,206
65,5,86,204
66,5,83,205
67,5,81,205
0,6,62,177
1,6,61,185
2,6,61,194
3,6,63,202
4,6,64,211
5,6,64,219
6,6,66,226
7,6,70,232
8,6,79,234
9,6,90,234
10,6,102,232
11,6,113,230
12,6,122,225
13,6,128,217
14,6,131,207
15,6,133,197
16,6,134,186
17,6,59,159
18,6,62,154
19,6,66,152
20,6,72,152
21,6,77,155
22,6,90,156
23,6,97,153
24,6,106,154
25,6,113,159
26,6,118,166
27,6,81,164
28,6,78,169
29,6,76,173
30,6,73,178
31,6,70,187
32,6,73,188
33,6,76,189
34,6,80,189
35,6,84,188
36,6,63,167
37,6,67,164
38,6,71,165
39,6,75,168
40,6,70,168
41,6,66,168
42,6,95,170
43,6,100,167
44,6,104,168
45,6,109,171
46,6,104,171
47,6,99,171
48,6,68,204
49,6,70,199
50,6,73,196
51,6,76,197
52,6,80,197
53,6,86,200
54,6,94,206
55,6,86,208
56,6,80,208
57,6,76,208
58,6,73,208
59,6,70,206
60,6,70,203
61,6,73,201
62,6,76,201
63,6,80,201
64,6,91,206
65,6,80,204
66,6,76,204
67,6,73,203
0,7,63,178
1,7,62,186
2,7,62,194
3,7,63,202
4,7,64,210
5,7,64,218
6,7,67,226
7,7,71,230
8,7,80,233
9,7,90,233
10,7,101,231
11,7,112,229
12,7,121,223
13,7,127,216
14,7,129,207
15,7,130,197
16,7,131,186
17,7,61,162
18,7,63,157
19,7,67,154
20,7,72,154
21,7,77,157
22,7,89,157
23,7,96,154
24,7,104,156
25,7,111,160
26,7,116,166
27,7,81,166
28,7,79,169
29,7,77,173
30,7,75,177
31,7,72,187
32,7,75,188
33,7,78,188
34,7,82,188
35,7,86,187
36,7,65,170
37,7,68,167
38,7,72,167
39,7,76,170
40,7,72,170
41,7,68,171
42,7,94,171
43,7,98,169
44,7,103,169
45,7,107,172
46,7,102,173
47,7,98,172
48,7,71,206
49,7,72,198
50,7,75,195
51,7,78,196
52,7,82,195
53,7,88,199
54,7,94,207
55,7,88,209
56,7,82,209
57,7,78,210
58,7,75,209
59,7,72,208
60,7,73,204
61,7,75,200
62,7,78,200
63,7,82,200
64,7,92,206
65,7,82,205
66,7,78,205
67,7,75,204
0,8,60,184
1,8,60,191
2,8,60,199
3,8,61,206
4,8,62,215
5,8,64,222
6,8,67,228
7,8,73,232
8,8,81,234
9,8,92,234
10,8,102,231
11,8,112,228
12,8,121,222
13,8,126,215
14,8,128,205
15,8,128,195
16,8,128,185
17,8,59,168
18,8,60,162
19,8,64,158
20,8,70,157
21,8,75,159
22,8,85,158
23,8,92,156
24,8,99,157
25,8,106,160
26,8,111,166
27,8,79,169
28,8,78,172
29,8,77,175
30,8,76,179
31,8,73,189
32,8,75,190
33,8,78,190
34,8,82,189
35,8,86,189
36,8,65,174
37,8,67,171
38,8,70,171
39,8,74,173
40,8,70,173
41,8,67,174
42,8,91,173
43,8,94,171
44,8,99,171
45,8,103,174
46,8,98,174
47,8,94,174
48,8,70,207
49,8,71,199
50,8,75,196
51,8,78,196
52,8,82,196
53,8,88,199
54,8,93,207
55,8,88,209
56,8,82,210
57,8,78,210
58,8,75,210
59,8,72,208
60,8,72,205
61,8,75,201
62,8,79,201
63,8,82,201
64,8,90,206
65,8,82,205
66,8,79,205
67,8,75,205
0,9,63,184
1,9,62,191
2,9,62,198
3,9,62,206
4,9,62,215
5,9,64,222
6,9,67,229
7,9,73,234
8,9,81,236
9,9,92,235
10,9,102,233
11,9,113,230
12,9,121,224
13,9,127,217
14,9,129,207
15,9,129,197
16,9,130,187
17,9,61,168
18,9,62,163
19,9,66,160
20,9,70,159
21,9,75,161
22,9,86,161
23,9,92,158
24,9,100,159
25,9,106,162
26,9,110,169
27,9,79,171
28,9,78,174
29,9,76,177
30,9,75,180
31,9,73,190
32,9,75,191
33,9,78,191
34,9,82,191
35,9,86,190
36,9,66,175
37,9,68,172
38,9,71,172
39,9,75,174
40,9,71,174
41,9,68,175
42,9,91,175
43,9,95,172
44,9,99,173
45,9,103,176
46,9,99,176
47,9,95,175
48,9,72,208
49,9,73,201
50,9,76,198
51,9,79,199
52,9,82,198
53,9,87,202
54,9,93,209
55,9,88,211
56,9,82,212
57,9,79,212
58,9,76,211
59,9,73,210
60,9,74,207
61,9,76,203
62,9,79,203
63,9,82,203
64,9,90,208
65,9,82,207
66,9,79,207
67,9,76,207
0,10,60,185
1,10,60,192
2,10,61,199
3,10,61,207
4,10,62,215
5,10,63,223
6,10,67,229
7,10,73,233
8,10,82,235
9,10,92,234
10,10,103,232
11,10,113,228
12,10,121,223
13,10,127,215
14,10,128,205
15,10,129,195
16,10,129,185
17,10,58,169
18,10,60,163
19,10,64,160
20,10,69,159
21,10,74,160
22,10,85,159
23,10,91,157
24,10,99,157
25,10,106,161
26,10,110,167
27,10,78,169
28,10,77,173
29,10,76,176
30,10,75,179
31,10,72,190
32,10,75,190
33,10,78,190
34,10,81,190
35,10,85,189
36,10,64,175
37,10,66,172
38,10,69,171
39,10,73,173
40,10,70,174
41,10,67,175
42,10,91,174
43,10,94,171
44,10,98,172
45,10,102,174
46,10,98,175
47,10,94,174
48,10,71,209
49,10,72,201
50,10,75,197
51,10,78,198
52,10,82,197
53,10,87,201
54,10,93,208
55,10,88,210
56,10,83,212
57,10,79,212
58,10,76,212
59,10,72,211
60,10,73,208
61,10,75,203
62,10,78,203
63,10,82,203
64,10,90,207
65,10,82,207
66,10,79,207
67,10,76,207
0,11,59,188
1,11,59,195
2,11,59,203
3,11,60,211
4,11,61,219
5,11,63,226
6,11,67,232
7,11,74,235
8,11,83,236
9,11,93,235
10,11,104,232
11,11,113,228
12,11,122,222
13,11,126,214
14,11,128,204
15,11,128,194
16,11,127,184
17,11,57,170
18,11,58,164
19,11,62,160
20,11,68,159
21,11,73,160
22,11,84,159
23,11,91,156
24,11,98,157
25,11,104,160
26,11,109,167
27,11,78,170
28,11,77,173
29,11,76,177
30,11,76,180
31,11,73,191
32,11,76,192
33,11,79,192
34,11,82,191
35,11,86,190
36,11,63,177
37,11,66,173
38,11,69,172
39,11,73,174
40,11,69,175
41,11,66,176
42,11,90,173
43,11,93,170
44,11,97,171
45,11,101,173
46,11,97,174
47,11,93,174
48,11,71,211
49,11,72,204
50,11,76,200
51,11,79,200
52,11,82,199
53,11,87,202
54,11,92,209
55,11,88,210
56,11,83,211
57,11,80,212
58,11,76,212
59,11,73,212
60,11,73,210
61,11,76,205
62,11,79,205
63,11,82,204
64,11,90,208
65,11,82,207
66,11,79,207
67,11,76,208
0,12,59,185
1,12,59,192
2,12,59,200
3,12,60,208
4,12,60,217
5,12,62,224
6,12,66,230
7,12,73,234
8,12,82,236
9,12,92,235
10,12,103,232
11,12,113,229
12,12,121,223
13,12,126,215
14,12,127,205
15,12,128,194
16,12,127,183
17,12,57,168
18,12,59,162
19,12,63,159
20,12,68,158
21,12,73,160
22,12,84,159
23,12,91,156
24,12,98,156
25,12,105,160
26,12,110,166
27,12,78,170
28,12,77,173
29,12,76,177
30,12,75,181
31,12,72,191
32,12,75,192
33,12,78,192
34,12,81,191
35,12,85,190
36,12,63,175
37,12,65,171
38,12,69,170
39,12,73,173
40,12,69,174
41,12,66,174
42,12,90,173
43,12,94,170
44,12,98,170
45,12,102,173
46,12,98,173
47,12,94,173
48,12,71,211
49,12,72,203
50,12,75,200
51,12,78,200
52,12,81,200
53,12,87,203
54,12,92,209
55,12,87,211
56,12,82,212
57,12,79,212
58,12,75,212
59,12,72,212
60,12,73,209
61,12,76,205
62,12,78,205
63,12,81,205
64,12,90,208
65,12,82,207
66,12,79,208
67,12,76,207
0,13,59,187
1,13,59,194
2,13,59,202
3,13,60,210
4,13,61,219
5,13,62,226
6,13,66,233
7,13,72,237
8,13,80,238
9,13,91,238
10,13,102,235
11,13,112,231
12,13,120,225
13,13,125,217
14,13,127,208
15,13,128,197
16,13,128,186
17,13,57,169
18,13,59,163
19,13,63,160
20,13,68,159
21,13,72,161
22,13,83,161
23,13,90,158
24,13,97,158
25,13,104,161
26,13,109,168
27,13,77,171
28,13,76,174
29,13,74,178
30,13,73,181
31,13,71,191
32,13,73,192
33,13,76,193
34,13,80,192
35,13,84,191
36,13,63,176
37,13,65,172
38,13,68,171
39,13,73,174
40,13,69,175
41,13,65,175
42,13,89,174
43,13,93,171
44,13,97,172
45,13,101,175
46,13,97,175
47,13,93,175
48,13,70,211
49,13,71,204
50,13,74,200
51,13,77,201
52,13,80,200
53,13,86,203
54,13,92,211
55,13,86,213
56,13,81,214
57,13,78,214
58,13,74,214
59,13,71,213
60,13,72,210
61,13,74,205
62,13,77,205
63,13,80,205
64,13,89,210
65,13,81,209
66,13,77,209
67,13,74,209
0,14,59,188
1,14,59,196
2,14,59,203
3,14,60,211
4,14,61,219
5,14,62,227
6,14,66,233
7,14,72,237
8,14,81,239
9,14,91,238
10,14,102,235
11,14,112,232
12,14,120,226
13,14,125,218
14,14,127,208
15,14,128,197
16,14,128,187
17,14,57,168
18,14,58,163
19,14,62,160
20,14,67,159
21,14,72,161
22,14,83,160
23,14,90,157
24,14,97,158
25,14,104,162
26,14,108,168
27,14,77,171
28,14,76,174
29,14,74,178
30,14,73,182
31,14,71,192
32,14,73,192
33,14,76,193
34,14,80,192
35,14,84,191
36,14,62,176
37,14,65,172
38,14,68,171
39,14,72,174
40,14,68,175
41,14,65,175
42,14,89,174
43,14,93,171
44,14,97,172
45,14,101,175
46,14,97,175
47,14,93,175
48,14,70,211
49,14,71,204
50,14,74,201
51,14,77,202
52,14,80,201
53,14,86,204
54,14,92,211
55,14,86,213
56,14,81,214
57,14,77,214
58,14,74,214
59,14,71,213
60,14,72,210
61,14,74,206
62,14,77,206
63,14,80,206
64,14,89,210
65,14,80,210
66,14,77,210
67,14,74,209
0,15,58,187
1,15,58,194
2,15,59,202
3,15,59,211
4,15,60,220
5,15,62,227
6,15,66,234
7,15,72,239
8,15,81,240
9,15,92,239
10,15,103,235
11,15,113,231
12,15,121,225
13,15,126,217
14,15,127,206
15,15,128,195
16,15,128,184
17,15,56,169
18,15,57,163
19,15,61,160
20,15,66,159
21,15,71,161
22,15,83,160
23,15,89,156
24,15,97,157
25,15,104,160
26,15,109,167
27,15,76,170
28,15,75,174
29,15,74,178
30,15,73,182
31,15,71,192
32,15,73,192
33,15,76,193
34,15,80,192
35,15,84,190
36,15,62,176
37,15,64,172
38,15,67,171
39,15,71,174
40,15,68,175
41,15,64,175
42,15,89,173
43,15,92,170
44,15,97,171
45,15,101,173
46,15,97,174
47,15,93,174
48,15,70,212
49,15,70,204
50,15,74,201
51,15,77,202
52,15,81,200
53,15,86,203
54,15,92,211
55,15,87,214
56,15,82,215
57,15,78,216
58,15,74,216
59,15,71,215
60,15,72,211
61,15,74,206
62,15,77,206
63,15,81,206
64,15,89,210
65,15,81,210
66,15,78,211
67,15,74,211
0,16,57,189
1,16,57,197
2,16,58,205
3,16,59,214
4,16,60,222
5,16,62,230
6,16,67,236
7,16,74,239
8,16,83,239
9,16,94,238
10,16,105,234
11,16,114,230
12,16,122,224
13,16,126,215
14,16,128,205
15,16,128,194
16,16,128,183
17,16,54,171
18,16,55,164
19,16,59,160
20,16,64,158
21,16,70,160
22,16,82,158
23,16,88,154
24,16,96,154
25,16,104,157
26,16,109,163
27,16,75,170
28,16,75,174
29,16,75,178
30,16,74,183
31,16,72,194
32,16,74,194
33,16,77,194
34,16,81,193
35,16,84,192
36,16,60,178
37,16,62,173
38,16,66,172
39,16,71,175
40,16,67,176
41,16,63,177
42,16,89,172
43,16,92,169
44,16,97,169
45,16,101,171
46,16,97,172
47,16,93,172
48,16,71,216
49,16,71,208
50,16,75,204
51,16,78,204
52,16,80,202
53,16,85,205
54,16,91,212
55,16,87,214
56,16,82,215
57,16,79,216
58,16,76,217
59,16,73,218
60,16,73,215
61,16,75,210
62,16,78,209
63,16,81,208
64,16,88,211
65,16,81,210
66,16,79,211
67,16,76,212
0,17,56,188
1,17,56,196
2,17,58,204
3,17,58,213
4,17,59,221
5,17,61,229
6,17,66,235
7,17,73,239
8,17,83,239
9,17,93,238
10,17,104,234
11,17,114,229
12,17,121,222
13,17,125,213
14,17,126,203
15,17,127,192
16,17,127,180
17,17,53,172
18,17,53,165
19,17,57,160
20,17,63,158
21,17,69,160
22,17,80,158
23,17,86,153
24,17,95,153
25,17,102,156
26,17,108,163
27,17,74,170
28,17,74,174
29,17,73,179
30,17,72,184
31,17,71,194
32,17,73,195
33,17,76,195
34,17,79,193
35,17,83,192
36,17,60,178
37,17,62,174
38,17,66,173
39,17,70,175
40,17,66,177
41,17,62,178
42,17,88,172
43,17,91,168
44,17,95,168
45,17,100,171
46,17,96,172
47,17,91,172
48,17,71,217
49,17,71,209
50,17,74,205
51,17,76,205
52,17,79,203
53,17,84,206
54,17,90,212
55,17,86,215
56,17,81,216
57,17,78,217
58,17,75,217
59,17,72,218
60,17,73,215
61,17,74,210
62,17,77,210
63,17,80,209
64,17,88,212
65,17,80,211
66,17,78,212
67,17,75,212
0,18,56,189
1,18,56,197
2,18,57,205
3,18,58,213
4,18,59,222
5,18,61,229
6,18,66,236
7,18,73,239
8,18,82,240
9,18,93,238
10,18,104,234
11,18,113,229
12,18,121,222
13,18,125,213
14,18,126,203
15,18,127,192
16,18,127,180
17,18,53,173
18,18,53,165
19,18,57,160
20,18,63,158
21,18,68,160
22,18,80,157
23,18,87,153
24,18,95,152
25,18,103,155
26,18,108,162
27,18,74,169
28,18,73,174
29,18,73,179
30,18,72,184
31,18,70,195
32,18,73,195
33,18,76,195
34,18,79,193
35,18,83,192
36,18,59,179
37,18,61,174
38,18,65,172
39,18,70,175
40,18,66,177
41,18,62,178
42,18,88,172
43,18,91,167
44,18,96,167
45,18,100,170
46,18,96,171
47,18,91,172
48,18,70,217
49,18,70,209
50,18,73,205
51,18,76,205
52,18,79,203
53,18,84,206
54,18,90,212
55,18,86,215
56,18,81,216
57,18,78,217
58,18,75,218
59,18,72,219
60,18,72,216
61,18,74,210
62,18,77,209
63,18,79,209
64,18,87,212
65,18,80,212
66,18,78,213
67,18,75,213
0,19,55,188
1,19,56,196
2,19,57,204
3,19,58,213
4,19,58,222
5,19,61,230
6,19,65,236
7,19,72,241
8,19,81,242
9,19,92,240
10,19,102,236
11,19,112,231
12,19,120,224
13,19,125,216
14,19,127,205
15,19,127,193
16,19,128,181
17,19,52,173
18,19,52,166
19,19,57,160
20,19,63,158
21,19,69,160
22,19,80,157
23,19,87,153
24,19,96,152
25,19,104,156
26,19,109,164
27,19,74,170
28,19,73,174
29,19,73,179
30,19,72,184
31,19,69,194
32,19,72,195
33,19,75,195
34,19,79,194
35,19,82,192
36,19,59,178
37,19,61,173
38,19,65,172
39,19,70,175
40,19,66,177
41,19,62,178
42,19,87,172
43,19,91,168
44,19,96,167
45,19,101,171
46,19,96,172
47,19,91,172
48,19,69,217
49,19,69,209
50,19,73,205
51,19,76,205
52,19,78,204
53,19,84,206
54,19,90,213
55,19,85,216
56,19,81,217
57,19,77,218
58,19,74,219
59,19,70,219
60,19,71,215
61,19,73,210
62,19,76,209
63,19,79,209
64,19,88,212
65,19,80,212
66,19,77,213
67,19,74,213
0,20,53,183
1,20,54,192
2,20,56,200
3,20,57,209
4,20,58,218
5,20,60,227
6,20,64,234
7,20,70,239
8,20,80,240
9,20,91,239
10,20,102,234
11,20,113,229
12,20,121,222
13,20,125,212
14,20,126,201
15,20,127,190
16,20,127,178
17,20,50,169
18,20,51,162
19,20,55,158
20,20,62,157
21,20,67,159
22,20,79,157
23,20,86,153
24,20,95,152
25,20,103,155
26,20,108,162
27,20,73,169
28,20,72,174
29,20,71,179
30,20,70,184
31,20,67,194
32,20,70,194
33,20,74,194
34,20,78,193
35,20,81,192
36,20,57,175
37,20,59,171
38,20,63,170
39,20,68,173
40,20,64,174
41,20,60,175
42,20,87,171
43,20,90,167
44,20,95,167
45,20,100,170
46,20,96,171
47,20,91,171
48,20,68,216
49,20,68,208
50,20,72,204
51,20,74,204
52,20,78,203
53,20,83,206
54,20,89,213
55,20,85,216
56,20,80,218
57,20,76,218
58,20,73,219
59,20,69,218
60,20,70,214
61,20,72,209
62,20,75,209
63,20,78,208
64,20,86,212
65,20,79,212
66,20,75,213
67,20,72,213
0,21,53,185
1,21,53,193
2,21,54,202
3,21,56,211
4,21,57,220
5,21,59,229
6,21,63,237
7,21,70,243
8,21,80,244
9,21,90,242
10,21,101,238
11,21,111,232
12,21,119,225
13,21,124,215
14,21,125,204
15,21,126,192
16,21,126,180
17,21,50,170
18,21,51,163
19,21,55,159
20,21,61,158
21,21,66,160
22,21,78,158
23,21,84,153
24,21,93,153
25,21,100,156
26,21,106,162
27,21,72,169
28,21,71,175
29,21,70,180
30,21,69,185
31,21,67,195
32,21,70,196
33,21,73,196
34,21,77,195
35,21,80,193
36,21,57,176
37,21,59,172
38,21,63,171
39,21,67,174
40,21,63,175
41,21,60,176
42,21,85,172
43,21,89,168
44,21,93,168
45,21,98,171
46,21,94,172
47,21,89,172
48,21,68,218
49,21,67,210
50,21,71,206
51,21,74,207
52,21,77,205
53,21,83,208
54,21,88,214
55,21,84,217
56,21,79,219
57,21,75,220
58,21,72,221
59,21,68,220
60,21,70,217
61,21,71,211
62,21,74,211
63,21,77,210
64,21,86,214
65,21,78,214
66,21,75,215
67,21,72,215
0,22,52,183
1,22,53,192
2,22,55,201
3,22,56,210
4,22,57,220
5,22,59,229
6,22,63,237
7,22,70,242
8,22,80,243
9,22,91,242
10,22,102,237
11,22,112,231
12,22,120,223
13,22,124,213
14,22,125,201
15,22,126,189
16,22,125,176
17,22,49,170
18,22,50,163
19,22,54,159
20,22,60,158
21,22,65,159
22,22,78,157
23,22,85,153
24,22,93,152
25,22,100,155
26,22,106,161
27,22,71,169
28,22,71,175
29,22,70,180
30,22,69,186
31,22,67,196
32,22,70,196
33,22,73,196
34,22,77,195
35,22,80,193
36,22,56,176
37,22,58,172
38,22,62,171
39,22,66,174
40,22,63,175
41,22,59,176
42,22,85,171
43,22,88,167
44,22,93,167
45,22,98,170
46,22,94,171
47,22,89,171
48,22,67,218
49,22,67,211
50,22,71,206
51,22,74,207
52,22,77,205
53,22,82,208
54,22,88,214
55,22,84,218
56,22,79,219
57,22,76,220
58,22,72,221
59,22,69,220
60,22,70,217
61,22,71,212
62,22,74,211
63,22,77,211
64,22,85,214
65,22,78,214
66,22,75,215
67,22,72,215
0,23,53,182
1,23,53,191
2,23,54,200
3,23,55,209
4,23,57,219
5,23,59,228
6,23,63,236
7,23,70,241
8,23,79,243
9,23,90,241
10,23,101,236
11,23,111,231
12,23,119,223
13,23,124,213
14,23,125,201
15,23,126,189
16,23,126,177
17,23,49,167
18,23,50,160
19,23,54,157
20,23,60,156
21,23,65,158
22,23,78,156
23,23,85,152
24,23,93,151
25,23,100,154
26,23,106,161
27,23,71,168
28,23,71,173
29,23,70,178
30,23,69,184
31,23,66,193
32,23,69,194
33,23,72,194
34,23,76,193
35,23,80,192
36,23,56,174
37,23,58,170
38,23,62,169
39,23,66,172
40,23,63,173
41,23,59,174
42,23,85,170
43,23,89,166
44,23,93,166
45,23,98,169
46,23,94,170
47,23,89,170
48,23,67,216
49,23,67,208
50,23,70,204
51,23,73,205
52,23,77,203
53,23,82,206
54,23,89,213
55,23,84,216
56,23,78,218
57,23,75,219
58,23,71,219
59,23,68,218
60,23,69,214
61,23,71,209
62,23,74,209
63,23,77,208
64,23,86,212
65,23,78,213
66,23,74,214
67,23,71,214
0,24,54,181
1,24,54,189
2,24,55,199
3,24,56,208
4,24,57,218
5,24,59,227
6,24,63,236
7,24,69,241
8,24,79,243
9,24,91,241
10,24,102,236
11,24,112,230
12,24,120,222
13,24,125,212
14,24,126,201
15,24,127,189
16,24,127,176
17,24,50,167
18,24,51,160
19,24,56,156
20,24,61,156
21,24,66,158
22,24,79,156
23,24,86,152
24,24,94,151
25,24,102,154
26,24,107,161
27,24,73,168
28,24,72,173
29,24,71,178
30,24,70,184
31,24,67,193
32,24,69,194
33,24,73,194
34,24,77,193
35,24,81,192
36,24,57,173
37,24,59,169
38,24,63,169
39,24,67,171
40,24,64,172
41,24,60,173
42,24,86,170
43,24,90,166
44,24,95,166
45,24,99,169
46,24,95,170
47,24,91,170
48,24,67,215
49,24,67,208
50,24,71,204
51,24,73,205
52,24,77,203
53,24,83,206
54,24,89,213
55,24,84,216
56,24,79,218
57,24,75,219
58,24,72,219
59,24,68,218
60,24,70,214
61,24,71,209
62,24,74,209
63,24,77,208
64,24,86,212
65,24,78,213
66,24,74,214
67,24,72,213
0,25,54,179
1,25,53,188
2,25,54,197
3,25,55,206
4,25,56,217
5,25,58,226
6,25,62,235
7,25,68,242
8,25,78,244
9,25,89,243
10,25,100,238
11,25,111,233
12,25,119,225
13,25,124,215
14,25,126,203
15,25,127,191
16,25,128,178
17,25,50,165
18,25,51,159
19,25,56,156
20,25,61,156
21,25,66,158
22,25,79,157
23,25,87,153
24,25,95,153
25,25,102,156
26,25,108,163
27,25,72,168
28,25,71,174
29,25,70,179
30,25,69,185
31,25,65,194
32,25,68,195
33,25,72,195
34,25,76,194
35,25,80,193
36,25,56,172
37,25,58,169
38,25,63,169
39,25,67,171
40,25,63,172
41,25,59,173
42,25,86,171
43,25,90,168
44,25,95,168
45,25,100,171
46,25,95,171
47,25,91,171
48,25,66,216
49,25,66,208
50,25,70,205
51,25,73,206
52,25,77,204
53,25,83,208
54,25,89,215
55,25,84,219
56,25,78,221
57,25,74,222
58,25,71,222
59,25,67,220
60,25,68,215
61,25,70,210
62,25,73,210
63,25,77,210
64,25,86,214
65,25,77,216
66,25,74,216
67,25,71,216
0,26,54,182
1,26,53,191
2,26,55,200
3,26,55,209
4,26,56,219
5,26,58,228
6,26,63,237
7,26,69,243
8,26,79,244
9,26,90,243
10,26,102,238
11,26,112,232
12,26,120,224
13,26,124,214
14,26,126,202
15,26,127,190
16,26,127,177
17,26,49,167
18,26,51,161
19,26,55,157
20,26,61,157
21,26,66,160
22,26,78,158
23,26,85,154
24,26,93,153
25,26,101,156
26,26,107,162
27,26,72,169
28,26,71,174
29,26,70,180
30,26,69,186
31,26,67,195
32,26,69,196
33,26,72,196
34,26,76,195
35,26,80,193
36,26,56,174
37,26,58,171
38,26,62,170
39,26,67,173
40,26,63,173
41,26,59,174
42,26,86,172
43,26,90,168
44,26,94,168
45,26,99,171
46,26,94,172
